,Coordinate,Distance,Predicted Class,Original Class
1,"[28, 11]",12.0,0.5214294791221619,0.478539377450943
2,"[28, 10]",21.0,0.5489410758018494,0.4510262608528137
3,"[29, 10]",,,
4,"[28, 12]",18.0,0.5016627311706543,0.49831682443618774
5,"[27, 10]",23.0,0.5244194865226746,0.47554662823677063
6,"[29, 11]",25.0,0.5055051445960999,0.4944680333137512
7,"[28, 9]",,,
8,"[27, 9]",29.0,0.5154541730880737,0.484514445066452
9,"[26, 9]",46.0,0.5119112730026245,0.48806074261665344
10,"[29, 12]",22.0,0.50956791639328,0.49039632081985474
11,"[27, 11]",12.0,0.5314501523971558,0.4684993028640747
12,"[28, 13]",18.0,0.5003211498260498,0.4996516704559326
13,"[29, 8]",58.0,0.5018026828765869,0.4981626272201538
14,"[26, 10]",,,
15,"[25, 10]",27.0,0.5569671392440796,0.44301655888557434
16,"[25, 9]",15.0,0.5054665207862854,0.4944995641708374
17,"[29, 13]",,,
18,"[17, 31]",50.0,0.5250449776649475,0.47492700815200806
19,"[30, 10]",77.0,0.5001636743545532,0.49980127811431885
20,"[26, 11]",15.0,0.5223883986473083,0.4775836169719696
21,"[28, 30]",63.0,0.5093955397605896,0.49057233333587646
22,"[16, 31]",,,
23,"[30, 28]",33.0,0.5048624277114868,0.49510645866394043
24,"[30, 9]",,,
25,"[30, 8]",66.0,0.5082142949104309,0.49175021052360535
26,"[28, 26]",31.0,0.5111202001571655,0.48885372281074524
27,"[28, 28]",,,
28,"[28, 8]",46.0,0.5085964202880859,0.49137333035469055
29,"[23, 14]",7.0,0.5385624766349792,0.4614034593105316
30,"[27, 13]",13.0,0.5145010352134705,0.48548126220703125
